Group,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O
MS1,44.699,1.035,33.103,2.454,0.045,0.754,0.0,0.461,9.852
MS2,46.726,1.09,34.17,2.544,0.025,0.767,0.0,0.541,9.904
MS3,45.787,1.036,33.394,2.411,0.089,0.705,0.0,0.537,10.026
MS4,45.283,0.89,33.242,2.279,0.066,0.701,0.008,0.592,9.478
MS5,44.869,0.667,29.945,3.415,0.108,1.494,0.011,0.248,9.736
MS6,46.959,1.074,30.186,3.333,0.083,1.381,0.051,0.229,9.835
MS7,27.643,1.037,23.24,5.183,0.0,1.473,0.057,0.354,9.355
MS8,43.148,0.934,28.161,4.851,0.061,1.689,0.01,0.203,9.168
MS9,46.674,1.036,28.824,4.269,0.072,1.216,0.0,0.25,8.131
MS10,46.719,1.017,33.806,2.005,0.0,0.733,0.0,0.445,8.466
MS11,45.686,0.677,27.957,3.234,0.074,1.188,0.008,0.254,10.063
MS12,46.287,0.215,29.675,2.589,0.0,0.979,0.046,0.254,10.327
MS13,46.11,0.015,30.157,2.279,0.073,0.881,0.0,0.35,9.796
MS14,46.392,0.842,32.711,1.961,0.014,0.892,0.0,0.387,10.556
MS15,46.118,0.958,32.77,2.122,0.024,0.879,0.033,0.378,10.097
MS16,46.541,1.04,32.055,2.8,0.011,1.018,0.027,0.236,8.417
MS17,45.04,1.008,31.953,2.073,0.018,0.838,0.0,0.413,9.641
