Sample,Group,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O
log-20,ORTM,42.746,1.346,10.806,18.053,0.454,10.557,11.739,1.288,1.237
log-20,ORTM,41.116,1.307,12.924,20.165,0.715,8.593,11.714,1.258,1.324
log-20,ORTM,41.634,1.163,11.893,19.206,0.725,9.038,11.706,1.144,1.12
log-20,ORTM,41.241,1.088,12.506,19.833,0.703,8.433,11.571,1.211,1.264
log-20,ORTM,40.621,1.328,12.554,19.967,0.686,8.382,11.746,1.223,1.36
log-20,ORTM,40.626,1.415,12.676,19.838,0.772,8.264,11.557,1.197,1.426
log-20,ORTM,40.301,1.489,12.622,20.031,0.738,8.354,11.318,1.304,1.454
log-20,ORTM,40.541,1.187,12.241,19.977,0.75,8.317,11.39,1.362,1.326
log-20,ORTM,40.738,1.152,12.596,20.517,0.704,7.903,11.667,1.261,1.343
log-20,ORTM,40.677,1.145,12.805,20.625,0.678,7.9,11.523,1.274,1.324
log-63,ORTM,42.711,1.544,10.731,19.216,0.399,9.634,11.47,1.45,1.319
log-63,ORTM,43.091,1.485,10.24,19.016,0.493,9.892,11.662,1.49,1.224
log-63,ORTM,43.346,1.336,10.157,18.889,0.45,9.882,11.534,1.393,1.207
log-63,ORTM,43.4,1.587,9.94,18.519,0.475,9.882,11.634,1.323,1.132
log-63,ORTM,43.029,1.476,10.536,18.738,0.441,9.659,11.67,1.313,1.249
log-63,ORTM,42.897,1.778,10.714,18.567,0.41,9.646,11.658,1.393,1.33
log-63,ORTM,43.063,1.56,10.346,18.83,0.441,9.709,11.725,1.356,1.232
log-63,ORTM,42.783,1.473,10.206,18.574,0.423,9.735,11.538,1.412,1.246
log-63,ORTM,43.54,1.578,10.08,18.61,0.42,9.901,11.58,1.314,1.182
